S_No,INV_NO,INV_MONTH,INV_TYPE,CUSTOMER_NUMBER,CUSTOMER_NAME,ORDER_NUMBER,ORDER_TYPE,UNIT_CD,INV_VALUE,SALESREP,PROD_CODE,PROD_GROUP,PRICE_LIST,YY_MM,SAL_COM_NEW,SAL_COM_PER,SAL_COM_VL,SAL_COM_SSIL
1,1212303762,Feb-24,U12-Machine-Domestic,472541,R.G. SPINNING MILLS PRIVATE LTD,210002625,TMD Machines Domestic UN2,12,2278000,"TMD-Coimbatore Nr-SSIL, SalesEngr",174,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,102510,4.5,76882.5,25627.5
2,1212303761,Feb-24,U12-Machine-Domestic,472541,R.G. SPINNING MILLS PRIVATE LTD,210002625,TMD Machines Domestic UN2,12,1886800,"TMD-Coimbatore Nr-SSIL, SalesEngr",126,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,84906,4.5,63679.5,21226.5
3,1112303968,Feb-24,U11-Machine-Domestic,472499,"PALANI VIJAY COTTSPIN (P) LTD.,",110010631,TMD Machines Domestic UN1,11,2397700,"TMD-Coimbatore NU-VL, SalesEngnr",389,DRAW FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,107896.5,4.5,80922.38,26974.12
4,1112303962,Feb-24,U11-Machine-Domestic,422186,KANSAL SPINNING MILLS PVT LTD,110010947,TMD Machines Domestic UN1,11,2627800,"TMD-Ahmedabad-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,118251,4.5,88688.25,29562.75
5,1112303961,Feb-24,U11-Machine-Domestic,445048,BABASAHEB KEDAR SHETKARI SAHAKARI SOOT GIRNI LTD,110010930,TMD Machines Domestic UN1,11,2915400,"TMD-Nagpur-VL, SalesEngnr",335,DRAW FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,131193,4.5,98394.75,32798.25
6,1212303741,Feb-24,U12-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,210012328,TMD Machines Domestic UN2,12,14730440,"TMD-Mumbai-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,515565.4,3.5,386674.05,128891.35
7,1212303737,Feb-24,U12-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,210012328,TMD Machines Domestic UN2,12,2853900,"TMD-Mumbai-VL, SalesEngnr",175,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,128425.5,4.5,96319.13,32106.37
8,1212303736,Feb-24,U12-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,210012328,TMD Machines Domestic UN2,12,1633100,"TMD-Mumbai-VL, SalesEngnr",194,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,73489.5,4.5,55117.13,18372.37
9,1112303951,Feb-24,U11-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,110011194,TMD Machines Domestic UN1,11,2915400,"TMD-Mumbai-VL, SalesEngnr",335,DRAW FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,131193,4.5,98394.75,32798.25
10,1112303950,Feb-24,U11-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,110011194,TMD Machines Domestic UN1,11,6358400,"TMD-Mumbai-VL, SalesEngnr",549,SPEED FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,222544,3.5,166908,55636
11,1112303946,Feb-24,U11-Machine-Domestic,443138,AI INSTRUMENTS PVT LTD,110010368,TMD Machines Domestic UN1,11,2691800,"TMD-Nagpur-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,121131,4.5,90848.25,30282.75
12,1112303944,Feb-24,U11-Machine-Domestic,467152,KANCHAN INDIA LIMITED,110010306,TMD Machines Domestic UN1,11,2423500,"TMD-Indore-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,109057.5,4.5,81793.13,27264.37
13,1112303942,Feb-24,U11-Machine-Domestic,424275,APL Corporation Private Limited,110010965,TMD Machines Domestic UN1,11,660800,"TMD-Ahmedabad-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
14,1112303921,Feb-24,U11-Machine-Domestic,458084,MAHADEV SPINNING MILLS PVT LTD.,110010591,TMD Machines Domestic UN1,11,2544800,"TMD-Kolkata-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,114516,4.5,85887,28629
15,1112303912,Feb-24,U11-Machine-Domestic,422186,KANSAL SPINNING MILLS PVT LTD,110010947,TMD Machines Domestic UN1,11,2627800,"TMD-Ahmedabad-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,118251,4.5,88688.25,29562.75
